,name,year,genre,rate,voter,director,star,country,company,budget,gross
118,Mía,(2011), Drama            ,6.9,152,Javier van de Couter,"Rodrigo De la Serna,Maite Lanata,Camila Sosa Villada,",Argentina,"Instituto Nacional de Cine y Artes Audiovisuales (INCAA),See more »,",,
119,The Cockettes,(2002), Documentary            ,7.3,490,,"Larry Brinkin,Peggy Cass,Pristine Condition,|,See full cast & crew,",USA,"Grandelusion,See more »,","$300,000","$220,077,"
120,La Petite Mort II,(2014)," Horror, Thriller            ",3.5,94,Marcel Walz,"Annika Strauss,Yvonne Wölke,Mika Metz,|,See full cast & crew,","Germany,Austria","Matador Film,See more »,","€100,000",
121,Yeladim Tovim,(2005)," Crime, Drama, Romance            ",5.1,323,Yair Hochner,"Daniel Efrat,Dana Balalti,Michael Hamel,|,See full cast & crew,",Israel,,,
122,The Queens,(2018), Documentary            ,0.0,0,Mark Saxenmeyer,"Sunny Dee-Light,Maya Douglas,Jim Flint,|,See full cast & crew,",USA,"The Reporters,See more »,",,
123,L.G.B.T. Love Stories,(2016)," Comedy, Drama, Romance            ",4.4,7,,"Frederic Farina,Christina Russo,Danny Martinez,|,See full cast & crew,",,"Transflix Productions,E.B.G. Productions,PL Entertainment,See more »,","$20,000",
124,Finding Phong,(2015)," Documentary, Biography, Drama            ",7.9,38,,,Vietnam,,,
125,Bruno & Earlene Go to Vegas,(2013)," Adventure, Drama, Romance            ",5.1,117,Simon Savory,"Miles Szanto,Ashleigh Sumner,Barrett Crake,|,See full cast & crew,","UK,USA,France","Flyswot Films,See more »,","£75,000",
126,Moron 5 and the Crying Lady,(2012), Comedy            ,5.4,59,Wenn V. Deramas,"Luis Manzano,Billy Crawford,Marvin Agustin,|,See full cast & crew,","Philippines,Indonesia","Viva Films,MVP Pictures,See more »,",,
127,Arddhanaari,(2016), Thriller            ,7.8,19,Bhanushanker Chowdary,"Harikrishna,Jyoti,Mirchi Madhavi,|,See full cast & crew,",India,"Patthikonda Cinemass,See more »,",,
128,Mein Freund aus Faro,(2008), Drama            ,6.5,401,Nana Neul,"Anjorka Strechel,Lucie Hollmann,Manuel Cortez,|,See full cast & crew,",Germany,"Westdeutscher Rundfunk (WDR),Wüste Film West GmbH,See more »,",,
129,Open,(2010)," Drama, Romance            ",5.4,97,Jake Yuzna,"Tempest Crane,Jendeen Forberg,Gaea Gaddy,|,See full cast & crew,",USA,"Narrative Films,See more »,",,
130,The Out List,(2013), Documentary            ,7.2,589,Timothy Greenfield-Sanders,"Dustin Lance Black,R. Clarke Cooper,Wade Davis,|,See full cast & crew,",USA,"Perfect Day Films,See more »,",,
131,Leaving Metropolis,(2002)," Comedy, Drama, Romance            ",6.2,574,Brad Fraser,"Troy Ruptash,Vince Corazza,Lynda Boyd,|,See full cast & crew,",Canada,"Film Tonic,Realtime Films Inc.,Original Pictures,See more »,",,
132,The Pearl of Africa,(2016)," Documentary, Adventure, Drama            ",6.8,103,Jonny von Wallström,,"Sweden,Kenya,Thailand,Uganda",,,
133,Check It,(2016), Documentary            ,7.0,102,,,USA,"Olive Productions,RadicalMedia,See more »,",,
134,Zus & zo,(2001)," Comedy, Fantasy, Romance            ",6.4,"1,508",Paula van der Oest,"Sylvia Poorta,Anneke Blok,Monic Hendrickx,|,See full cast & crew,",Netherlands,"Filmprodukties de Luwte,See more »,",,"$28,397,"
135,Soba,(2004)," Crime, Drama            ",6.1,64,Alan Coton,"Claudia Soberón,Dagoberto Gama,Antonio Algarra,|,See full cast & crew,",Mexico,"9.5 Grados en la escala de Richter,La Chancla Producciones,See more »,","MXN 1,200,000",
136,Marisa en los bosques,(2017)," Comedy, Drama            ",6.2,31,Antonio Morales,"Patricia Jordá,Aida de la Cruz,Mauricio Bautista,|,See full cast & crew,",Spain,,,
137,Musical Chairs,(2011)," Drama, Romance            ",4.9,261,Susan Seidelman,"Leah Pipes,E.J. Bonilla,Priscilla Lopez,|,See full cast & crew,",USA,"Active Fox Productions,JMC Independent Productions,The Film Community,See more »,","$2,500,000","$31,478,"
138,Noor,(I) (2012), Drama            ,7.2,70,,"Uzma Ali,Baba Hussain,Noor,|,See full cast & crew,","France,Pakistan","C'est au 3,C'est au 4,See more »,",,
139,The Hills Have Thighs,(2008), Comedy            ,3.4,57,James Bubba Cromer,"Hance Oliver,Dona Ayers,Mona Lisa Johnson,|,See full cast & crew,",USA,"Coach Cromer Productions,See more »,","$50,000",
140,Carmin Tropical,(2014)," Drama, Mystery            ",7.2,161,Rigoberto Pérezcano,"José Pescina,Luis Alberti,Everardo Trejo,|,See full cast & crew,",Mexico,"Instituto Mexicano de Cinematografía (IMCINE),Tiburón Filmes,See more »,","$1,500,000",
141,Cheonhajangsa madonna,(2006)," Comedy, Sport            ",6.7,316,,"Yun-shik Baek,Ki-Joon Hong,Kyeong-ik Kim,|,See full cast & crew,",South Korea,"Sidus,See more »,","$2,500,000",
142,Salam Pakistan,(2018)," Comedy, Mystery, Romance            ",8.7,21,Hassan Zee,"Naghma,Ali Raza,Meerab Khan,|,See full cast & crew,",Pakistan,"Z Films,See more »,",,
143,Out in the Silence,(2009)," Documentary, Comedy, Family            ",5.0,453,,"C.J. Bills,Diane Granley,Linda Henderson,|,See full cast & crew,",USA,"qWaves.com,See more »,","$180,000",
144,Game Face,(2015)," Documentary, Sport            ",6.4,111,Michiel Thomas,"Kye Allums,Terrence Clemens,Jason Collins,|,See full cast & crew,","Belgium,USA",,,
145,Kanchana: Muni 2,(2011)," Comedy, Crime, Horror            ",6.5,722,Lawrence Raghavendra,"Lawrence Raghavendra,Sarath Kumar,Kovai Sarala,|,See full cast & crew,",India,"Raghavendra Productions,See more »,","INR 85,000,000",
146,Oh Baby!,(2008), Comedy            ,7.6,22,Steven Rothblatt,"Claudia Abundis,Jorge Alberti,Laura Cerón,|,See full cast & crew,",USA,"Continuity Productions,See more »,",,
147,How Do I Look,(2006), Documentary            ,7.7,15,Wolfgang Busch,"Tracy Africa,Kevin Aviance,Jose Guitierez,|,See full cast & crew,",USA,,,
148,God Made Man,(2018), Drama            ,0.0,0,Nate Locklear,"Samantha Ireland,Mike Gassaway,Lee Dawn Hershey,|,See full cast & crew,",USA,"For Now Productions,Missing Hill Productions,See more »,","$100,000",
149,Ruby Blue,(2007), Drama            ,6.8,198,Jan Dunn,"Bob Hoskins,Josiane Balasko,Jody Latham,|,See full cast & crew,",UK,"Medb Films,Entertainment Motion Pictures (E-MOTION),Le Tax Shelter du Gouvernement Fédéral de Belgique,See more »,","£350,000",
150,In the Market,(2009)," Horror, Thriller            ",1.9,265,Lorenzo Lombardi,"Ottaviano Blitch,Rossella Caiani,Gloria Cocco,|,See full cast & crew,",Italy,,,
151,Kumu Hina,(2014)," Documentary, Biography            ",7.7,88,,"Leo Anderson Akana,Haemaccelo Kalu,Ho'Onani Kamai,|,See full cast & crew,","USA,Fiji",,,
152,Lady Peacock,(2014)," Comedy, Romance            ",5.8,137,A.J. Mattioli,"Alec Seymour,Joshua Cruz,Simon Vargas,|,See full cast & crew,",USA,"Mattioli Productions,See more »,","$700,000",
153,An Affirmative Act,(2010)," Crime, Drama, Mystery            ",5.7,84,A.J. Mattioli,"Charles Durning,Costas Mandylor,Robert Clohessy,|,See full cast & crew,",USA,"Justice for All Productions,See more »,","$1,500,000",
154,Bambi,(2013)," Documentary, Biography            ",7.1,99,Sébastien Lifshitz,,France,"Un Monde Meilleur,Epicentre Films,Canal+,See more »,",,
155,Two 4 One,(2014)," Drama, Comedy            ",7.3,62,Maureen Bradley,"Gavin Crawford,Naomi Snieckus,Gabrielle Rose,|,See full cast & crew,",Canada,"Hoggwild Films,Sugar Shack Films,Viddywell Films,See more »,",,
156,Maskeblomstfamilien,(2010), Drama            ,5.3,234,Petter Næss,"Marcus Mathias Aarnseth,Andrea Pharo Ronde,Maria Bonnevie,|,See full cast & crew,",Norway,"Maipo Film,See more »,","NOK 18,000,000",
157,Free CeCe!,(2016), Documentary            ,7.0,20,Jacqueline Gares,"Laverne Cox,Venus Xtravaganza,Lorena Xtravaganza,|,See full cast & crew,",USA,,"$465,750",
158,After Stonewall,(1999)," Documentary, Biography, History            ",7.4,350,John Scagliotti,"Craig Rodwell,Melissa Etheridge,Mike Carney,|,See full cast & crew,",USA,"After Stonewall,Center for Independent Documentary,See more »,",,
159,Ronda nocturna,(2005), Drama            ,6.2,502,Edgardo Cozarinsky,"Gonzalo Heredia,Mariana Anghileri,Rafael Ferro,|,See full cast & crew,","Argentina,France","Cine Ojo,Les Films d'Ici,See more »,",,
160,Words,(I) (2018), Documentary            ,8.1,12,A.J. Mattioli,"Carmen Carrera,Caldwell Tidicue,Shakina Nayfack,|,See full cast & crew,",USA,"Mattioli Productions,See more »,","$40,000",
161,Made in Bangkok,(2015)," Documentary, Comedy, Drama            ",7.2,81,Flavio Florencio,"Morganna Love,Noa Herrera,","Mexico,Thailand,Germany",,,
162,Khastegi,(2008), Drama            ,6.6,46,Bahman Motamedian,"Ghavi Bal,Bahare Ghavibal,Asghar Nejad,",Iran,,,
163,Ann,(I) (2016), Drama            ,0.0,0,Carla Forte,"Carlos Antonio León,The Dog Hero,Jose Manuel Dominguez,",USA,"ERE. Bistoury,See more »,",,
164,Aynehaye rooberoo,(2011), Drama            ,7.1,425,Negar Azarbayjani,"Shayesteh Irani,Ghazal Shakeri,Homayoun Ershadi,|,See full cast & crew,",Iran,,,
165,Sex: M,(2014)," Documentary, Biography, News            ",0.0,0,Kate Elston,,USA,,,
166,Three,(I) (2018)," Drama, Romance            ",0.0,0,A.R. Mavero,"Julian Gavilanes,Donnell E. Smith,Travis Bratten,|,See full cast & crew,",USA,"The Mavo,See more »,",,
167,Melting Away,(2011), Drama            ,6.8,169,Doron Eran,"Hen Yanni,Yonatan Barak,Limor Goldstein,|,See full cast & crew,","Israel,Canada",,,
168,Kink Crusaders,(2011)," Documentary, Adventure, Biography            ",6.6,34,Mark Jensen,"Lambodara Das,John Pendal,",USA,,,
169,Straightlaced: How Gender's Got Us All Tied Up,(2009), Documentary            ,6.9,25,Debra Chasnoff,,USA,"GroundSpark,See more »,",,
170,TransGeek,(2018)," Documentary, Biography, History            ",0.0,0,,,"Sweden,USA,UK",,,
171,Red Without Blue,(2007), Documentary            ,6.8,452,,"Clair Farley,Jennie Farley,Mark Oliver Farley,|,See full cast & crew,",USA,"Red Without Blue,See more »,",,
172,Woman on Fire,(2016)," Documentary, Biography            ",6.6,23,Julie Sokolow,"James L. Baker,Brooke Guinan,George Guinan,",USA,,,
173,A Womb of Their Own,(2017)," Documentary, Biography            ",0.0,0,Cyn Lubow,,USA,,"$50,000",
174,Mr. Angel,(2013)," Drama, Romance            ",6.7,242,Dan Hunt,"Lux Alptraum,Buck Angel,Elayne Angel,|,See full cast & crew,","USA,Canada,Germany,Mexico","Pearl Wolf Productions,See more »,",,
175,Amori e metamorfosi,(2014), Documentary            ,0.0,0,,"Andrea Vergoni,Gabriella Basso Ricci,Andrea Lorenzo Donnino Forzani,|,See full cast & crew,","Italy,France","Dugong Production,Acis Productions,See more »,",,
176,Pick Up the Mic,(2006), Documentary            ,8.2,76,Alex Hinton,"Aggracyst,Deadlee,Dutchboy,|,See full cast & crew,",USA,"Planet Janice Films,Rhino Films,See more »,",,
177,Leitis in Waiting,(2018), Documentary            ,0.0,0,,,"Tonga,USA","Waves,See more »,","$340,000",
178,Emma,(IV) (2018)," Documentary, Biography            ",0.0,0,Anna Brüggeshemke,"Brigitte Brüggeshemke,Emma Brüggeshemke,Hermann Brüggeshemke,|,See full cast & crew,",Germany,,"€5,000",
179,Becoming Chaz,(2011), Documentary            ,6.5,306,,"Cher,Chaz Bono,Jennifer Elia,|,See full cast & crew,",USA,"World of Wonder Productions,World of Wonder,See more »,",,
180,Gendernauts - Eine Reise durch die Geschlechter,(1999), Documentary            ,5.7,123,Monika Treut,"Susan Stryker,Texas Tomboy,Annie Sprinkle,|,See full cast & crew,","USA,Germany","Hyena Films,See more »,",,"$7,358"
181,En tránsito,(2017), Documentary            ,8.8,16,Constanza Gallardo,,Chile,"Inefable,See more »,",,
182,Casa Roshell,(2017)," Comedy, Drama, Romance            ",6.2,101,Camila José Donoso,"Roshell Terranova,Liliana Alba,Lia García,|,See full cast & crew,","Mexico,Chile","Tonalá Lab,Interior13 Cine,See more »,",,
183,Fourplay,(2012)," Drama, Romance            ",6.7,53,Kyle Henry,"Christeene,Gary Chason,Danielle Rene,|,See full cast & crew,",USA,"C-Hundred Film Corporation,See more »,",,
184,It Gets Better,(2012)," Documentary, Family            ",7.6,94,Tanwarin Sukkhapisit,"Prama Imanotai,Nuntita Khampiranon,Penpak Sirikul,|,See full cast & crew,",Thailand,"Amfine Production,See more »,",,
185,Benim çocugum,(2013), Documentary            ,7.8,461,Can Candan,"Sule Ceylan,Ömer Ceylan,Günseli Dum,|,See full cast & crew,",Turkey,,,
186,Renée,(2011), Documentary            ,6.5,77,Eric Drath,"Eric Drath,Renée Richards,Josephine Von Hipple,|,See full cast & crew,",USA,"ESPN Films,Live Star Entertainment,See more »,",,
187,I Am a Woman Now,(2011)," Documentary, Drama            ",7.6,98,Michiel van Erp,"April Ashley,Bambi,Colette Berends,|,See full cast & crew,",Netherlands,"De Familie,Vrijzinnig Protestantse Radio Omroep (VPRO),See more »,",€0,
188,Sexing the Transman,(2011), Sci-Fi            ,6.8,6,Buck Angel,"Margaret Cho,Ian Harvie,Selene Luna,|,See full cast & crew,",USA,,,
189,Dandy Dust,(1998), Documentary            ,6.1,93,A. Hans Scheirl,"Suzie Krüger,Leonora Rogers-Wright,A. Hans Scheirl,|,See full cast & crew,","UK,Austria",,,
190,Pojktanten,(2012)," Comedy, Romance            ",5.7,163,Ester Martin Bergsmark,"Juli Apponen,Sebastian Bendefors,Ester Martin Bergsmark,|,See full cast & crew,","Sweden,Denmark","Upfront Films,See more »,","SEK 4,000,000",
191,Billy Shakespeare,(2014)," Biography, Drama            ",7.8,20,Deborah Voorhees,"Jason D. Johnson,Catharine E. Jones,Phillip David Collins,|,See full cast & crew,",USA,"Billy Shakespeare Project,See more »,","$80,000",
192,The Amazing Truth About Queen Raquela,(2008)," Documentary, Crime            ",6.0,210,Olaf de Fleur Johannesson,"Raquela Rios,Stefan C. Schaefer,Olivia Galudo,|,See full cast & crew,","Iceland,Philippines,France,Thailand","Cicala Filmworks,Poppoli Pictures,See more »,","$400,000","$5,255,"
193,Cruel and Unusual,(2006), Documentary            ,6.9,54,,"Ashley,Ophelia DeLonte,Anna Connelly,|,See full cast & crew,",USA,"Reid Productions,See more »,",,
194,Trinidad,(2008), Drama            ,7.1,81,,"Stanley Biber,Marci Bowers,Laura Ellis,|,See full cast & crew,",USA,"Surly Puppy,See more »,",,
195,Bwakaw,(2012), Documentary            ,7.2,179,Jun Lana,"Eddie Garcia,Princess,Rez Cortez,|,See full cast & crew,","Philippines,Canada,UK,USA","Cinemalaya,Octobertrain Films,APT Entertainment,See more »,",,
196,Gay Positive,(2014)," Comedy, Horror            ",7.4,7,A.J. Mattioli,"Rutanya Alda,Blanche Baker,Jim Colucci,|,See full cast & crew,",USA,"Mattioli Productions,See more »,","$40,000",
197,Christmaz,(2013)," Drama, Romance            ",6.2,10,,"Kelly Abbass,Luigi Di Salvatore,Giovanni Galletto,|,See full cast & crew,","Italy,Canada","Gothic Produzioni,See more »,","€10,000",
198,Fucking Different Tel Aviv,(2009), Drama            ,6.5,34,,"Yossi Almong,Roii Amoya,Uri Avrahami,|,See full cast & crew,","Germany,Israel","Kristian Petersen Filmproduktion,See more »,",,
199,Uncle Stephanie,(2009)," Comedy, Crime, Drama            ",0.0,0,Agustin McCarthy,"Laverne Cox,Hunter Gilmore,Tim Seib,|,See full cast & crew,",USA,,,
200,Partridge,(2018)," Comedy, Drama, Music            ",8.2,6,Ben Carter,"Terrel DeWeese,Ben Carter,Anna Thomson,|,See full cast & crew,",USA,"Norse Dog Films,See more »,",,
201,12 horas,(2001), Documentary            ,6.2,88,Raúl Marchand Sánchez,"Jaime Bello,Marcos Betancourt,Modesto Lacen,|,See full cast & crew,",Puerto Rico,"MUVI Films,See more »,",,
202,Blossoms of Fire,(2000)," Drama, Romance            ",7.0,30,,,"USA,Mexico",,,"$2,390,"
203,Quanto Dura o Amor?,(2009)," Documentary, Drama, Family            ",6.3,133,Roberto Moreira,"Maria Clara Spinelli,Sílvia Lourenço,Danni Carlos,|,See full cast & crew,",Brazil,"Coração da Selva,See more »,",,
204,Deep Run,(2015), Documentary            ,6.4,37,Hillevi Loven,,USA,,,
205,Boy I Am,(2006)," Documentary, Music            ",7.5,42,,"Elizabeth Cline,Lucey Cummins,Judith Halberstam,|,See full cast & crew,",USA,,,
206,My Prairie Home,(2013)," Action, Comedy, Crime            ",6.1,61,Chelsea McMullan,,Canada,"National Film Board of Canada (NFB),See more »,",,
207,Killing Heat,(2012), Documentary            ,3.7,60,Daniel Dahl,"Kim Andersen,Prajark Bhudprom,Oranuch Bunyjam,|,See full cast & crew,",Norway,"3F,See more »,","NOK 30,000",
208,Naked on the Inside,(2007), Documentary            ,7.7,86,Kim Farrant,"Kim Farrant,Carré Otis,Shirley Sheffield,|,See full cast & crew,",Australia,"Magic Real Picture Company,See more »,",,
209,Man for a Day,(2012)," Comedy, Sport            ",7.4,45,Katarina Peters,,"Germany,UK,Finland","Katharina Peters Filmproduktion,Creative Scotland,Media Co-Op,See more »,",,
210,Satree lek 2,(2003), Documentary            ,5.4,194,Yongyoot Thongkongtoon,"Sujira Arunpipat,Kokkorn Benjathikoon,Anucha Chatkaew,|,See full cast & crew,",Thailand,"Tai Entertainment,Hub Ho Hin Films,See more »,","THB 18,000,000",
211,Georgie Girl,(2001), Documentary            ,8.2,38,,,New Zealand,,,
212,Out Late,(2008), Documentary            ,7.0,89,,"Leanna Bradley,Cathy Jambrosic,Walter Rothenburger,|,See full cast & crew,",USA,"Forever Films,See more »,",,
213,Between the Lines - Indiens drittes Geschlecht,(2005), Documentary            ,7.6,39,Thomas Wartmann,"Laxmi Narayan Tripathi,Rhamba,Asha,|,See full cast & crew,",Germany,"Arte,Filmquadrat,Südwestrundfunk (SWR),See more »,",,
214,Transparent,(2006), Documentary            ,7.1,9,Jules Rosskam,,USA,,,
215,Becoming Julia,(2003), Documentary            ,6.6,5,Ruth Cullen,,Australia,"Ruth Cullen,See more »,","AUD 263,000",
216,Be Like Others,(2008), Documentary            ,7.5,238,Tanaz Eshaghian,,"Canada,Iran,UK,USA",,,
217,Role Models,(2014), Documentary            ,0.0,0,Salome Oggenfuss,,USA,,,
218,Still Black: A Portrait of Black Transmen,(2008)," Documentary, Biography, Comedy            ",6.5,12,Kortney Ryan Ziegler,"Kylar Broadus,Louis Mitchell,",USA,,"$10,000",
219,Bebe,(2017), Documentary            ,0.0,0,,,"Israel,Poland",,,
220,Free Havana,(2012)," Documentary, History, Music            ",6.7,9,Eliezer Pérez Angueira,,"USA,Cuba","Silica Street Productions,See more »,","$5,000",
221,Colors of the Rainbow,(2009), Documentary            ,0.0,0,,"Mark Bonner,Jessica Persson,Jon Voss,","Sweden,USA",,,
222,Dangerous Living: Coming Out in the Developing World,(2003)," Documentary, Biography, History            ",7.3,134,John Scagliotti,"Janeane Garofalo,Maher Sabry,",USA,,,
223,Beyond Gay: The Politics of Pride,(2009)," Documentary, Biography            ",6.9,113,Bob Christie,,Canada,,,
224,Guilda: Elle est bien dans ma peau,(2014), Documentary            ,7.6,5,Julien Cadieux,,Canada,"Phare-Est Media,CMF-FMC,New Brunswick Film Development Program,See more »,",,
225,Ten More Good Years,(2007)," Drama, Romance            ",8.6,10,Michael Jacoby,"Harry Bartron,Harry Bartron,James Bidgood,|,See full cast & crew,",USA,"LookOut Films,See more »,","$200,000",
226,Should I Stay or Should I Go?,(2015)," Documentary, Biography            ",0.0,0,,"Julie Doyelle,Per Gottfredsson,Lorenz Kabas,|,See full cast & crew,","Germany,Austria,France,Sweden,Slovenia",,,
227,"Kings, Queens, & In-Betweens",(2017)," Comedy, Mystery            ",6.6,23,Gabrielle Burton,,USA,"Five Sisters Productions,See more »,",,
228,Stiff Luv,(2008)," Documentary, Biography, Fantasy            ",6.6,20,Adrian Keats,"Michael Angelone,Lionel S. Boodlal III,Scott Butler,|,See full cast & crew,",Canada,"Adrian Keats Productions,Cool Black Water Productions,See more »,",,
229,One Zero One - Die Geschichte von Cybersissy & BayBjane,(2013), Documentary            ,5.4,28,Tim Lienhard,"Antoine Timmermans,Mourad Zerhouni,Gregory Rack,|,See full cast & crew,",Germany,"Tim Lienhard Produktion,See more »,",,
230,We can Be Gay Today: Baltic Pride 2013,(2014), Comedy            ,7.3,10,,,"France,Lithuania","Sticky Notes Films,See more »,","€3,000",
231,Hail to the Groupies,(2012), Documentary            ,0.0,0,Leland Steigs,"Diane Anderson,Courtney Nelms,Bryce Ryan,|,See full cast & crew,",USA,"Two Of A Kind Company,See more »,",,
232,Jeanne d'Trans,(2016), Documentary            ,4.3,14,Niko Kostet,"Sam Bodi,Caicca The Lionheart,Tiina Katariina Hallikainen,|,See full cast & crew,",Finland,"Turun Elokuvaajat,See more »,","€2,000",
233,Call Me Malcolm,(2005), Drama            ,7.3,31,Joseph Parlagreco,"Malcolm Himschoot,Matt Kailey,Calpernia Addams,|,See full cast & crew,",USA,"Filmworks,United Church of Christ,See more »,",,
234,Exact Change,(2017)," Drama, Musical            ",0.0,0,Scott Plate,,USA,"G2H Films,Garage Creative Studios,Transforward,See more »,","$100,000",
235,Queens! Destiny of Dance,(2011)," Documentary, Biography            ",5.8,8,David Atkins,"Seema Biswas,Vineeth,",India,"Miraj Entertainment,View Motion Pictures,See more »,","INR 40,406,913",
236,Superstar in a Housedress,(2004), Drama            ,7.7,128,Craig Highberger,"Paul Ambrose,Michael André,Penny Arcade,|,See full cast & crew,",USA,"Highberger Media Inc.,See more »,",,"$28,032"
237,Delusions of Grandeur,(2012)," Comedy, Fantasy, Sci-Fi            ",7.8,13,,"Ronnie Alvarez,Salvador Benavides,Rafael O. Calderón,|,See full cast & crew,",USA,"Jezebel Pantry Productions,See more »,",,
238,"Hey, Happy!",(2001)," Documentary, Family, History            ",3.9,327,Noam Gonick,"Jérémie Yuen,Craig Aftanis,Clayton Godson,|,See full cast & crew,",Canada,"Big Daddy Beer Guts,See more »,",,
239,Purple Skies,(2014), Documentary            ,7.2,11,Sridhar Rangayan,"Sonal Giani,Anand Grover,Prashansa Gurung,|,See full cast & crew,",India,"PSBT,Solaris Pictures,See more »,",,
240,A Year in Transition,(2018), Documentary            ,0.0,0,Lorne Clarkson,,USA,,"$10,000",
241,Odd Ones Out,(2008)," Documentary, Drama            ",0.0,0,Dana McClure,,USA,"Rainlake Productions,See more »,","$72,000",
242,My Other Me: A Film About Cosplayers,(2013), Documentary            ,8.3,77,Josh Laner,,Canada,"M.O.D. Entertainment,High Deaf Productions,See more »,",,
243,Rainhas,(2008), Documentary            ,7.7,19,,"Michele Honda,Otacilio Junior,Orlando Almeida,|,See full cast & crew,",Brazil,"Syndrome Films,See more »,",,
244,Switch: A Community in Transition,(2009)," Comedy, Drama, Romance            ",0.0,0,Brooks Nelson,,USA,"Boxxo Productions,See more »,",,
245,Curiosity Killed the Cat,(2012), Comedy            ,8.4,5,A.J. Mattioli,"Blanche Baker,Elissa Goldstein,Keith Collins,|,See full cast & crew,",USA,"Mattioli Productions,Dreamcatcher Entertainment,See more »,","$20,000",
246,The D Word,(2005), Documentary            ,6.3,26,,"Stephen Alexander,Tony Arnaud,Michele Balan,|,See full cast & crew,",USA,"The D Word LLC,See more »,","$150,000",
247,50 Years Legal,(2017)," Documentary, Biography            ",6.5,8,Simon Napier-Bell,"Olly Alexander,Marc Almond,Stephen K. Amos,|,See full cast & crew,",UK,"Premiere Picture,SEIS Creative,See more »,","£421,000",
248,Dirty Martini and the New Burlesque,(2010)," Action, Comedy            ",0.0,0,Gary Beeber,"Scotty The Blue Bunny,James 'Tigger!' Ferguson,Pleasant Gehman,|,See full cast & crew,",USA,,,
249,Nidaime wa New Half,(2013)," Documentary, Biography, History            ",0.0,0,Hitoshi Ozawa,"Belle,Hakuryû,Katsuya,|,See full cast & crew,",Japan,"Aspros Drago,See more »,",,
250,Forever's Gonna Start Tonight,(2009), Documentary            ,8.7,6,Michelle Lawler,,USA,"Aggressively Enthusiastic Films,See more »,","$25,000",
251,Gender Redesigner,(2007)," Comedy, Drama            ",8.0,11,John Bergmann,"Jen Marcovics,Daniel Medalie,Lori Triburgo,|,See full cast & crew,",USA,,"$75,000",
252,Berlin Transgression,(2017)," Documentary, Drama, Musical            ",0.0,0,,"Absinthia Absolut,Ichgola Androgyn,Anna Bolika,|,See full cast & crew,",Germany,"Art-on-the-run production,Kaskeline Filmakademie Berlin,See more »,",,
253,So Long Suburbia,(2016), Documentary            ,0.0,0,Samuel Shanahoy,"Aliza Bosa,Sorrel Corvid,Tuesday Ferguson,|,See full cast & crew,",Canada,,"CAD 1,000",
254,Donne,(2009), Drama            ,0.0,0,Francesca Fini,"Ivona Cikos,Sonia De Nicola,Julia Pietrangeli,|,See full cast & crew,",Italy,,,
255,13 Genders,(2004), Comedy            ,8.2,5,Cyra K. Polizzi,"Richard Paro,Marcus Peterson,Katie Knutson,|,See full cast & crew,",USA,"Full Voice,See more »,",,
256,Document,(II) (2012)," Documentary, Drama            ",0.0,0,Michael Brody,"Chaz Grundy,Raphael Barker,Kate Avallone,|,See full cast & crew,",USA,,,
257,Bowser Makes a Movie,(2005), Documentary            ,4.3,133,Toby Ross,"Nick Lewis,Kevin Viol,Matthew S. Harrison,|,See full cast & crew,",USA,"Hornbill Films,River North,See more »,","$200,000",
258,The Good Son,(2012), Drama            ,7.1,44,Shirly Berkovitz,,Israel,,,
259,Ficki Ficki Aua Aua - Der Film,(2016), Documentary            ,0.0,0,Gerald Backhaus,"Magic Magnus,Nina Queer,Kay Ramczyk,|,See full cast & crew,",Germany,"Gerald Backhaus Produktion,See more »,",,
260,El camino del diablo,(2005)," Documentary, Biography, Music            ",0.0,0,Victory Tischler-Blue,,USA,"Sacred Dogs Entertainment,See more »,",,
261,Hrafnhildur- heimildarmynd um kynleiðréttingu,(2012), Documentary            ,7.5,15,Ragnhildur Steinunn Jónsdóttir,,Iceland,"Drakó Films,See more »,",,
262,Tamara W,(2014), Documentary            ,0.0,0,Marko Vuorinen,,"Finland,USA",,,
263,Love Man Love Woman,(2007), Documentary            ,6.6,5,Thi Trinh Nguyen,,Vietnam,,"$25,000",
264,La transparentalité aujourd'hui,(2007), Documentary            ,0.0,0,Maud-Yeuse Thomas,,France,,,
265,Out in Manhattan,(2008), Documentary            ,0.0,0,Maria Clara Costa,"Emile Griffith,Junior Vasquez,Alan Cumming,|,See full cast & crew,",USA,,"$10,000",
266,Gender Rebel,(2006), Documentary            ,7.1,33,Elaine Epstein,,USA,"Friction Films,See more »,",,
267,Harsh Beauty,(2005), Documentary            ,6.8,12,Alessandra Zeka,,"India,USA","Adrenaline Films,Angel Baby Entertainment,See more »,",,
268,Bubot Niyar,(2006), Documentary            ,7.5,162,Tomer Heymann,,"USA,Israel,Switzerland","Claudius Films,L.M. Media,Heymann Brothers Films,See more »,",,"$36,089,"
269,A Boy Named Sue,(2000), Drama            ,6.9,23,Julie Wyman,,USA,,,
270,Before Homosexuals,(2017), Documentary            ,0.0,0,John Scagliotti,"Janet Afary,Laetitia Andrieu,Susan Bonthron,|,See full cast & crew,",USA,"After Stonewall,See more »,",,
271,Loulou,(2016), Documentary            ,0.0,0,Edward Little,"Emma Cater,Josh Collins,Alan Gibson,|,See full cast & crew,",UK,"Loulou Film,See more »,","£15,000",
272,El camino de Moises,(2005)," Documentary, Romance            ",0.0,0,Cecilia Barriga,,Spain,,,
